q1,q2,q3,q4,q5,q6,q7,q41,q66,q77,q85,q86
3,1,1,1,,,,1,4,3,2,5
4,2,1,2,E,,,1,3,5,1,6
3,2,1,2,B,1.68,61.24,1,3,6,3,3
3,1,1,2,E,1.52,43.55,1,3,7,1,4
3,1,1,2,E,1.63,44.91,2,3,8,3,4
3,2,1,2,E,1.78,69.85,1,4,8,2,4
3,1,1,1,E,1.52,56.7,1,3,7,4,5
3,1,1,2,E,1.65,56.7,1,4,6,5,7
3,1,1,2,E,,,1,1,8,3,4
4,2,1,2,E,1.83,65.77,1,3,8,3,4
4,2,1,2,E,1.75,63.5,1,3,6,2,6
5,2,3,2,E,1.73,63.5,1,3,1,1,5
3,2,1,2,B,1.73,59.88,1,3,8,4,
3,1,1,2,E,1.55,47.63,3,3,8,5,5
3,1,1,1,E,1.52,61.24,2,4,3,5,5
,2,,2,,,,1,2,8,2,5
5,2,3,1,E,1.85,62.14,1,2,1,1,5
5,2,3,2,E,1.83,81.65,1,4,1,2,5
5,1,3,1,C,1.6,68.04,1,4,6,3,4
6,2,3,2,A   E,1.75,42.18,1,3,3,2,4
5,2,3,2,,1.78,90.72,2,4,8,4,3
5,2,3,2,B D,1.75,62.6,1,2,5,4,4
3,2,3,2,,1.73,82.1,4,4,8,3,7
5,1,3,2,E,,,1,4,1,3,2
6,2,3,2,E,1.88,62.14,7,2,8,3,3
5,1,3,1,,,,1,4,1,4,3
5,2,3,2,E,1.83,76.66,1,4,4,3,3
5,1,3,2,DE,1.55,54.43,1,3,8,4,5
5,2,3,2,E,1.75,57.15,1,2,4,2,5
5,2,3,2,E,1.8,74.84,1,3,4,2,4
5,2,3,2,E,1.8,67.13,1,3,8,4,3
4,1,3,2,B  E,1.68,49.44,,3,5,4,2
5,2,2,2,E,1.88,106.14,1,4,8,1,1
6,2,4,1,,1.63,72.58,1,4,6,3,3
5,2,3,2,BC,1.78,81.65,1,3,8,3,2
5,2,3,1,,1.6,75.3,1,5,7,3,1
5,1,3,1,E,1.52,48.99,1,3,1,3,4
5,2,3,2,E,1.9,88.45,1,3,8,1,5
4,1,2,2,E,1.68,72.58,4,4,6,3,5
4,2,2,1,E,1.88,58.97,1,2,3,3,4
3,2,2,2,B  E,1.78,61.24,1,3,8,2,2
5,2,2,1,E,1.75,72.58,1,3,8,2,3
5,2,2,2,E,1.8,74.84,1,3,4,4,2
5,2,2,2,E,1.78,72.58,1,3,6,1,4
4,1,2,1,E,1.55,45.81,1,1,6,3,6
4,1,2,2,E,1.68,50.8,1,2,8,2,4
4,2,2,2,E,,,7,3,8,3,3
4,2,2,2,E,1.8,97.98,1,5,1,2,6
4,2,2,2,E,,,1,3,8,4,4
4,2,2,2,E,1.83,79.83,1,3,8,4,3
4,2,2,2,E,1.93,77.11,1,3,8,2,4
4,2,2,2,E,1.8,95.26,1,4,1,1,4
3,2,2,1,,1.73,68.49,1,4,6,3,5
4,2,2,2,E,1.83,62.14,1,2,8,1,3
4,1,2,2,B,,,1,3,6,2,2
4,1,2,2,B,,,1,3,8,1,4
2,1,2,,B,1.68,81.65,1,4,1,3,5
4,,2,2,BC,,,2,5,2,4,1
5,1,2,1,,1.55,73.48,1,4,8,3,5
4,1,2,1,,1.6,67.59,1,4,6,4,2
4,1,2,1,E,1.6,47.17,1,2,6,3,3
4,2,2,2,E,1.8,68.04,2,2,3,3,4
4,1,2,1,E,1.65,77.57,1,4,1,4,5
